conversation_id,date,agent,shift,channel,customer_message,csat_score,resolved,wait_time_mins,handle_time_mins
CONV_1000,2024-01-15,Agent_Priya,Night,Chat,Password reset email never arrived. Been trying for hours.,1,False,49,6
CONV_1001,2024-03-10,Agent_Priya,Night,Chat,Reasonable service. Nothing outstanding but got the job done.,2,False,15,10
CONV_1002,2024-03-18,Agent_Priya,Night,Phone,Can you help me update my address? No rush at all.,3,False,39,11
CONV_1003,2024-01-21,Agent_Dev,Afternoon,Chat,I've been waiting 3 weeks for my refund! Nobody answers calls.,1,False,50,13
CONV_1004,2024-01-12,Agent_Dev,Morning,Chat,Billing amount is wrong again. This is the third time this month!,2,True,53,4
CONV_1005,2024-02-28,Agent_Meena,Morning,Chat,Your team helped me file a complex claim with ease. Really grateful.,4,True,37,12
CONV_1006,2024-03-20,Agent_Sara,Night,Phone,Password reset email never arrived. Been trying for hours.,1,False,16,27
CONV_1007,2024-01-11,Agent_Rahul,Morning,Chat,Called 5 times about the same issue. I am done waiting.,2,True,55,14
CONV_1008,2024-02-17,Agent_Sara,Morning,Email,Your agent was incredibly empathetic and helpful. Excellent service.,5,True,46,24
CONV_1009,2024-01-10,Agent_Meena,Night,Phone,Password reset email never arrived. Been trying for hours.,1,False,26,11
CONV_1010,2024-03-29,Agent_Meena,Morning,Email,Password reset email never arrived. Been trying for hours.,2,True,51,4
CONV_1011,2024-01-05,Agent_Sara,Afternoon,Chat,Confused about the charges on my last invoice. Can someone explain?,2,False,38,25
CONV_1012,2024-01-28,Agent_Dev,Afternoon,Email,New app update is great. So much easier to navigate now.,5,True,11,11
CONV_1013,2024-02-01,Agent_Meena,Night,Chat,Just checking when my claim will be processed. No urgency.,3,True,27,14
CONV_1014,2024-01-18,Agent_Meena,Afternoon,Phone,Confused about the charges on my last invoice. Can someone explain?,2,True,11,23
CONV_1015,2024-03-28,Agent_Dev,Night,Phone,Your agent was incredibly empathetic and helpful. Excellent service.,5,True,26,22
CONV_1016,2024-03-08,Agent_Sara,Night,Phone,Submitted claim 3 days ago and already got it resolved. Super fast!,4,True,45,20
CONV_1017,2024-02-04,Agent_Sara,Morning,Chat,Waiting time on calls is too long. Waited 45 minutes today.,2,False,2,26
CONV_1018,2024-02-03,Agent_Meena,Morning,Email,Your team helped me file a complex claim with ease. Really grateful.,4,True,57,23
CONV_1019,2024-03-22,Agent_Meena,Night,Phone,Called 5 times about the same issue. I am done waiting.,1,False,12,20
CONV_1020,2024-03-08,Agent_Priya,Night,Chat,Waiting time on calls is too long. Waited 45 minutes today.,2,False,25,29
CONV_1021,2024-01-31,Agent_Priya,Morning,Email,Called 5 times about the same issue. I am done waiting.,1,False,33,29
CONV_1022,2024-03-09,Agent_Rahul,Morning,Email,My account got locked and I can't login. Need this fixed urgently.,2,True,12,11
CONV_1023,2024-03-18,Agent_Dev,Morning,Email,Can you help me update my address? No rush at all.,2,True,27,24
CONV_1024,2024-02-17,Agent_Dev,Night,Chat,Password reset email never arrived. Been trying for hours.,1,False,6,13
CONV_1025,2024-03-16,Agent_Meena,Morning,Email,I've been waiting 3 weeks for my refund! Nobody answers calls.,1,False,47,23
CONV_1026,2024-01-30,Agent_Priya,Morning,Chat,Thank you so much! Issue resolved in minutes. Really impressed.,4,True,34,10
CONV_1027,2024-03-26,Agent_Dev,Morning,Email,Everything is working perfectly! I love using your platform.,4,True,48,21
CONV_1028,2024-03-01,Agent_Rahul,Afternoon,Chat,I need to speak to a supervisor right now. This has gone too far.,1,False,44,16
CONV_1029,2024-02-24,Agent_Dev,Afternoon,Email,My claim has been pending 2 months. I need answers or I will escalate.,1,True,43,6
CONV_1030,2024-02-21,Agent_Sara,Morning,Phone,Thank you so much! Issue resolved in minutes. Really impressed.,4,True,14,20
CONV_1031,2024-01-18,Agent_Dev,Morning,Chat,Submitted claim 3 days ago and already got it resolved. Super fast!,5,True,17,30
CONV_1032,2024-02-26,Agent_Meena,Morning,Phone,My account got locked and I can't login. Need this fixed urgently.,1,True,50,30
CONV_1033,2024-01-22,Agent_Dev,Afternoon,Chat,Confused about the charges on my last invoice. Can someone explain?,2,True,59,4
CONV_1034,2024-02-18,Agent_Priya,Afternoon,Chat,Your agent was incredibly empathetic and helpful. Excellent service.,5,True,20,16
CONV_1035,2024-03-12,Agent_Dev,Morning,Phone,I'm extremely disappointed. This is my last time using your services.,2,False,5,21
CONV_1036,2024-03-10,Agent_Priya,Night,Chat,Your team helped me file a complex claim with ease. Really grateful.,4,True,5,21
CONV_1037,2024-03-05,Agent_Meena,Morning,Phone,Charged twice. Please refund the duplicate charge immediately.,1,True,6,22
